Level1,Level2,Level3,Status,Completed On,Completed By,Notes
Projector ,,,,,,pending
,Geometry,,,,,pending
,Ceiling Mount,,,,,pending
,,Projection Distance,,,,pending
,Cables,,,,,pending
,,Network,,,,pending
,,IR,,,,pending
,,HDMI,,,,pending
,Power Circuit ,,,,,pending
,Lens Shift,,,,,pending
,,Picture Zoom,,,,pending
,,Picture Focus,,,,pending
,Image Quality ,,,,,pending
,,Contrast,,,,pending
,,Brightness,,,,pending
,,Color,,,,pending
,,Tint,,,,pending
,,Sharpness,,,,pending
,,Color Temp,,,,pending
,,Offset,,,,pending
,,Gamma,,,,pending
,,Pixel Adjust,,,,pending
,Setup Menu,,,,,pending
,,Image Profile,,,,pending
,,Profile Memory,,,,pending
,,Picture Position,,,,pending
,,Picture Shift Setting,,,,pending
,,Mask,,,,pending
,,HDMI input level,,,,pending
,Keystone,,,,,pending
,Custom Image Profiles,,,,,pending
